epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1998,1.95941,4.21735,2.28679,0,0,0,0,2.27511,3.93174,2.786,0.00010656,0.00010656,0.00010656
2,34.9372,1.75194,4.04105,2.0501,0.07193,0.21821,0.07542,0.0309,2.11493,3.78149,2.64211,0.000212164,0.000212164,0.000212164
3,52.5796,1.6738,3.57467,2.00204,0.64035,0.16775,0.18738,0.07605,2.14694,3.04779,2.67762,0.000313417,0.000313417,0.000313417
4,71.1871,1.65881,3.21313,1.99661,0.42262,0.28232,0.21663,0.07964,2.17101,2.7583,2.71939,0.00031322,0.00031322,0.00031322
5,88.9438,1.63906,2.99052,1.98117,0.52322,0.33554,0.32629,0.13378,2.07613,2.54122,2.6263,0.000306626,0.000306626,0.000306626
6,106.013,1.56359,2.81128,1.91523,0.47187,0.38235,0.34138,0.148,2.03942,2.38754,2.59378,0.000300033,0.000300033,0.000300033
7,123.226,1.54847,2.70309,1.94457,0.50302,0.40728,0.36537,0.16288,1.98424,2.59553,2.56142,0.00029344,0.00029344,0.00029344
8,140.782,1.51898,2.61476,1.91758,0.64951,0.38921,0.42235,0.19161,2.01295,2.13288,2.55997,0.000286846,0.000286846,0.000286846
9,158.208,1.52196,2.5378,1.88291,0.58344,0.47765,0.48699,0.22717,1.98745,2.05706,2.60623,0.000280253,0.000280253,0.000280253
10,174.948,1.45341,2.41715,1.85831,0.56563,0.47112,0.51189,0.23837,1.87642,1.87847,2.45721,0.000273659,0.000273659,0.000273659
11,192.004,1.43179,2.29558,1.83736,0.57897,0.50518,0.52869,0.25604,1.86047,1.88254,2.40966,0.000267066,0.000267066,0.000267066
12,208.617,1.37879,2.28358,1.79705,0.61489,0.54925,0.56668,0.28626,1.76274,1.79876,2.33324,0.000260473,0.000260473,0.000260473
13,228.704,1.37347,2.28269,1.78981,0.60274,0.53603,0.5697,0.284,1.81826,1.82059,2.42373,0.000253879,0.000253879,0.000253879
14,245.16,1.34123,2.1917,1.74048,0.66309,0.51416,0.59248,0.3144,1.77323,1.69259,2.36007,0.000247286,0.000247286,0.000247286
15,262.426,1.33715,2.14702,1.76992,0.58535,0.63964,0.6166,0.31642,1.77313,1.73698,2.37631,0.000240692,0.000240692,0.000240692
16,280.24,1.3059,2.04055,1.73993,0.70278,0.59387,0.63974,0.31736,1.8063,1.62798,2.41197,0.000234099,0.000234099,0.000234099
17,297.049,1.27508,1.98113,1.69702,0.7246,0.5492,0.64739,0.34239,1.71744,1.61168,2.32987,0.000227506,0.000227506,0.000227506
18,314.097,1.26651,1.99816,1.68443,0.71782,0.5873,0.63927,0.34564,1.7265,1.56078,2.37784,0.000220912,0.000220912,0.000220912
19,331.08,1.22442,1.89919,1.65241,0.61129,0.66218,0.66658,0.35011,1.71325,1.5216,2.39327,0.000214319,0.000214319,0.000214319
20,347.985,1.21559,1.90618,1.64943,0.65832,0.63939,0.6734,0.36183,1.64091,1.46601,2.28499,0.000207725,0.000207725,0.000207725
21,365.224,1.22378,1.92874,1.6645,0.71537,0.66291,0.72027,0.38744,1.63241,1.39566,2.26872,0.000201132,0.000201132,0.000201132
22,382.697,1.22484,1.83234,1.62723,0.75852,0.69798,0.73519,0.40729,1.60528,1.37835,2.25658,0.000194539,0.000194539,0.000194539
23,400.532,1.18231,1.8248,1.61918,0.77333,0.66486,0.73038,0.39602,1.60825,1.3608,2.27339,0.000187945,0.000187945,0.000187945
24,417.392,1.17478,1.76929,1.59454,0.73984,0.69273,0.74238,0.40468,1.5759,1.39108,2.24064,0.000181352,0.000181352,0.000181352
25,434.781,1.16679,1.75677,1.6096,0.74863,0.70051,0.75047,0.40846,1.57668,1.3544,2.21774,0.000174758,0.000174758,0.000174758
26,452.17,1.13841,1.68439,1.58392,0.7564,0.72748,0.74495,0.40514,1.56689,1.34231,2.22994,0.000168165,0.000168165,0.000168165
